date,title,amount
2025-08-12,Drogaria Farmagno,4.75
2025-08-08,Varanda Auto Posto,95.36
2025-08-08,57.009.595 Paulo Igor,68.00
2025-08-07,Drogasil1697,48.12
2025-08-02,Esquina da Uniao,23.00
2025-07-30,Hotel Artipam,46.00
2025-07-30,Nico Sabores,15.00
2025-07-30,South Beer,65.00
2025-07-30,Lonatto,98.36
2025-07-29,Vigilatosnooker,85.50
2025-07-28,Rodosnack Buenos Aires,19.50
2025-07-26,Outback Sao Caetano,144.00
2025-07-22,Pagamento recebido,-994.30
2025-07-22,Encerramento de dívida,-23.77
2025-07-22,Juros de dívida encerrada,23.77
2025-07-22,IOF de atraso,3.81
2025-07-22,Multa de atraso,19.96
2025-07-21,Saldo em atraso,994.30
2025-07-21,Crédito de atraso,-994.30
2025-07-13,Localiza Rac Accae0 - Parcela 2/2,183.78
